C_id,P_id,W_id,Platform,OrderDate,year,quantity
10021,400423,20024,Amazon,08-12-2010,2010,1
10022,400424,20049,Amazon,02-03-2011,2011,1
10023,400425,20293,Amazon,09-11-2015,2015,1
10025,400426,20502,Amazon,10-04-2010,2010,2
10026,400427,20512,Amazon,05-07-2017,2017,2
10027,400428,20695,Amazon,07-06-2015,2015,1
10029,400429,20826,Amazon,09-09-2014,2014,1
10030,400430,20836,Amazon,09-04-2015,2015,1
10031,400431,20900,Amazon,02-09-2013,2013,1
10032,400432,20901,Amazon,03-03-2014,2014,1
10033,400433,20992,Amazon,06-08-2011,2011,1
10034,400434,21041,Amazon,11-11-2012,2012,3
10035,400435,21069,Amazon,09-05-2010,2010,4
10036,400436,21136,Flipkart,07-05-2013,2013,2
10038,400437,21149,Snapdeal,04-12-2012,2012,1
10039,400438,21192,Snapdeal,06-10-2010,2010,2
10040,400439,21193,Snapdeal,03-11-2013,2013,3
10041,400440,21203,Snapdeal,04-01-2010,2010,4
10042,400441,21207,Flipkart,04-08-2014,2014,1
10043,400442,21254,Flipkart,07-05-2012,2012,1
10044,400443,21259,Flipkart,04-07-2015,2015,1
10045,400444,21265,Snapdeal,02-06-2012,2012,1
10046,400445,21380,Snapdeal,03-02-2013,2013,1
10047,400446,21386,Snapdeal,03-11-2010,2010,1
10048,400447,21390,Snapdeal,06-01-2016,2016,1
10050,400448,21450,Snapdeal,09-02-2011,2011,1
10051,400449,21455,Snapdeal,01-05-2017,2017,1
10052,400450,21456,Snapdeal,02-11-2011,2011,1
10053,400451,22222,Snapdeal,09-03-2012,2012,1
10054,400452,22229,Snapdeal,06-04-2011,2011,1
10055,400453,22232,Snapdeal,10-06-2014,2014,1
10056,400454,12237,Snapdeal,11-03-2016,2016,1
10057,400455,22249,Snapdeal,02-10-2015,2015,1
10059,400456,22253,Snapdeal,11-12-2011,2011,1
10060,400457,22256,Snapdeal,02-11-2010,2010,1
10061,400458,22260,Snapdeal,04-11-2011,2011,1
10062,400459,20512,Amazon,11-08-2014,2014,1
10063,400460,20695,Amazon,02-03-2016,2016,1
10064,400461,20826,Amazon,05-12-2012,2012,1
10065,400462,20836,Snapdeal,06-02-2015,2015,1
10066,400463,20900,Snapdeal,12-09-2014,2014,1
10067,400464,20901,Snapdeal,11-02-2010,2010,1
10068,400465,20992,Flipkart,03-01-2010,2010,1
10069,400466,21041,Flipkart,03-05-2012,2012,1
10070,400467,21069,Flipkart,01-08-2016,2016,1
10072,400468,21136,Flipkart,02-09-2015,2015,1
10073,400469,21149,Flipkart,01-04-2013,2013,1
10074,400470,21192,Flipkart,12-11-2013,2013,1
10075,400471,21193,Flipkart,03-02-2014,2014,1
10076,400472,21203,Flipkart,10-02-2012,2012,1
10077,400473,21207,Flipkart,06-03-2010,2010,1
10078,400474,21254,Flipkart,07-02-2015,2015,1
10079,400475,21259,Snapdeal,04-04-2014,2014,1
10080,400476,21265,Snapdeal,04-01-2017,2017,1
10081,400477,21380,Snapdeal,01-01-2017,2017,1
10082,400478,21386,Amazon,02-03-2011,2011,1
10083,400479,21390,Amazon,02-08-2014,2014,1
10084,400480,21450,Amazon,03-06-2011,2011,1
10085,400481,21455,Amazon,06-09-2010,2010,1
10086,400482,21456,Amazon,06-10-2012,2012,1
10087,400483,22222,Amazon,07-09-2014,2014,1
10088,400484,22229,Amazon,07-02-2010,2010,3
10089,400485,22232,Amazon,06-11-2011,2011,3
10090,400486,12237,Flipkart,05-12-2010,2010,3
10091,400487,22249,Flipkart,03-03-2013,2013,3
10092,400488,21193,Snapdeal,03-04-2013,2013,3
10093,400489,21203,Amazon,02-04-2013,2013,3
10094,400490,21207,Snapdeal,06-03-2016,2016,3
10095,400491,21254,Snapdeal,10-10-2012,2012,3
10096,400492,21259,Snapdeal,10-04-2014,2014,3
10097,400493,21265,Snapdeal,08-02-2010,2010,3
10098,400494,21380,Amazon,08-07-2010,2010,3
10099,400495,21386,Amazon,07-07-2016,2016,3
10100,400496,21390,Amazon,05-08-2010,2010,2
10101,400497,21450,Amazon,07-12-2010,2010,2
10102,400498,21455,Amazon,02-09-2012,2012,1
10103,400499,21456,Amazon,05-11-2014,2014,1
10104,400500,22222,Amazon,09-07-2015,2015,1
10105,400501,22229,Amazon,07-03-2010,2010,1
10106,400502,22232,Amazon,06-12-2017,2017,1
10107,400503,21193,Amazon,12-03-2013,2013,2
10108,400504,21203,Amazon,11-02-2016,2016,2
10109,400505,21207,Amazon,02-08-2014,2014,2
10110,400506,21254,Amazon,01-12-2010,2010,2
10111,400507,21259,Flipkart,01-12-2011,2011,2
10112,400508,21265,Snapdeal,08-10-2013,2013,2
10113,400509,21380,Snapdeal,12-11-2014,2014,2
10114,400510,21386,Snapdeal,06-12-2011,2011,2
10115,400511,21390,Snapdeal,03-01-2013,2013,2
